,station_name,poi_name,latitude,longitude,address,distance_m,category
138,"46th Street Station, MFL",Wah-Gi-Wah,39.95682968405307,-75.2113800266784,"4447 Chestnut St, Philadelphia, PA 19104",257,Pakistani Restaurant
140,Front & Queen,For Pete's Sake,39.93556320232765,-75.14532308457342,"900 S Front St (Christian St), Philadelphia, PA 19147",143,American Restaurant
141,Front & Queen,Royal Sushi & Izakaya,39.938008678666115,-75.14640796478119,"780 S 2nd St, Philadelphia, PA 19147",183,Japanese Restaurant
144,Front & Queen,Philadelphia Java Company,39.93610510483682,-75.14690020243661,"852 S 2nd St (at Christian St), Philadelphia, PA 19147",186,Coffee Shop
148,Front & Queen,New Wave Cafe,39.938004106979626,-75.1484431931029,"784 S 3rd St (at Catherine St), Philadelphia, PA 19147",327,Sports Bar
151,18th & JFK Curbside,JG SkyHigh,39.955001,-75.170112,"1 N 19th St Fl 60, Philadelphia, PA 19103",107,Restaurant
153,18th & JFK Curbside,Vernick Fish,39.955296,-75.170268,"1 N 19th St, Philadelphia, PA 19103",142,Seafood Restaurant
154,18th & JFK Curbside,Vernick Coffee Bar,39.9551000022471,-75.17077723145087,"1800 Arch St, Philadelphia, PA 19103",146,Coffee Shop
165,8th & Diamond,Tai's Vietnamese Food,39.98193759610899,-75.15285691712718,"1835 N 12th St, Philadelphia, PA 19122",493,Vietnamese Restaurant
175,Schuylkill & Wharton,Hood Bar,39.937663966393515,-75.19801404915036,"Philadelphia, PA",490,Bar
178,Schuylkill & Wharton,Graybar Philly,39.93531652507956,-75.20069951945564,"S Warfield St, Philadelphia, PA 19145",498,Bar
179,Schuylkill & Wharton,Little Delicious,39.94160911885587,-75.2123705788031,"4821 Woodland Ave, Philadelphia, PA 19143",809,Caribbean Restaurant
182,Temple University Station,Tai's Vietnamese Food,39.98193759610899,-75.15285691712718,"1835 N 12th St, Philadelphia, PA 19122",224,Vietnamese Restaurant
184,Temple University Station,Chipotle Mexican Grill,39.97941177238066,-75.15316936775942,"1100 W Montgomery Ave (at N 11th St), Philadelphia, PA 19122",263,Mexican Restaurant
185,Temple University Station,Richie's Café,39.980656679945724,-75.15135550545266,"1802 N Warnock St, Philadelphia, PA 19122",60,Café
193,54th & Chester,J & J Restaurant,39.938678087859174,-75.22473360638969,"5513 Chester Ave, Philadelphia, PA 19143",123,Caribbean Restaurant
194,54th & Chester,Kim's Food Market,39.93579886073742,-75.22312734762355,"5559 Greenway Ave, Philadelphia, PA 19143",381,Restaurant
200,Powelton & Lancaster,Jollie's West,39.96020674442674,-75.19719146840866,"3800 Lancaster Ave (at 38th St), Philadelphia, PA 19104",101,Hookah Bar
201,Powelton & Lancaster,Green Line Powelton Village,39.95933659577614,-75.1949809788369,"3649 Lancaster Ave (at 37th St & Powelton Ave), Philadelphia, PA 19104",117,Coffee Shop
203,Powelton & Lancaster,Chengdu Famous Food,39.959240689356236,-75.19446254211044,"3635 Lancaster Ave, Philadelphia, PA 19104",163,Chinese Restaurant
205,Powelton & Lancaster,Han Dynasty University City,39.95658634457237,-75.19707468846718,"3711 Market St, Philadelphia, PA 19104",337,Szechuan Restaurant
206,Powelton & Lancaster,Spring Chinese Restaurant,39.96028125745924,-75.19663716049527,"3739 Lancaster Ave, Philadelphia, PA 19104",83,Chinese Restaurant
207,Powelton & Lancaster,The Creative Café @ Replica,39.95663409397115,-75.1969176744191,"3711 Chestnut St., Philadelphia, PA 19104",330,Coffee Shop
209,Powelton & Lancaster,Corner Bakery Cafe,39.956685812190706,-75.19696402120832,"3737 Market St, Philadelphia, PA 19104",325,American Restaurant
216,"11th & Poplar, John F. Street Community Center",Tiffin,39.970424014721544,-75.14873063681557,"710 W Girard Ave (Btwn N 7th & N Marshall St), Philadelphia, PA 19123",535,Indian Restaurant
219,"11th & Poplar, John F. Street Community Center",Osteria,39.965029,-75.161056,"640 N Broad St, Philadelphia, PA 19130",692,Italian Restaurant
223,57th & Westminster ,Just To Serve You,39.97037708355784,-75.23346863261581,"5622 W Girard Ave, Philadelphia, PA 19131",383,Southern Food Restaurant
226,57th & Westminster ,GiGi's Soul Food,39.96985655857859,-75.23868302117339,"5936 Haverford Ave, Philadelphia, PA 19151",542,Southern Food Restaurant
229,57th & Westminster ,56 And Wyalusing Ave,39.96906535774011,-75.23140400737779,"Philadelphia, PA 19131",301,Bar
231,Moyamensing & Tasker,Grindcore House,39.92905783936221,-75.15194336145605,"1515 S 4th St (Greenwich), Philadelphia, PA 19147",162,Coffee Shop
232,Moyamensing & Tasker,2nd Street Brew House,39.92667786916592,-75.14930726924231,"1700 S 2nd St (at Morris St.), Philadelphia, PA 19148",190,Dive Bar
234,Moyamensing & Tasker,Dee's Place,39.92824248348525,-75.14879598550833,"1528 S 2nd St, Philadelphia, PA 19147",197,Bar
235,Moyamensing & Tasker,Moonshine Philly,39.92496122587986,-75.15181591709771,"1825 E Moyamensing Ave, Philadelphia, PA 19148",319,Bar
236,Moyamensing & Tasker,O'Jung's Tavern,39.92728260035497,-75.14873497652329,"1625 S 2nd St, Philadelphia, PA 19148",202,Bar
237,Moyamensing & Tasker,Cake and Joe,39.930425,-75.149601,"1401 E Moyamensing Ave, Philadelphia, PA 19147",319,Café
239,Moyamensing & Tasker,Herman's Coffee,39.9313524000752,-75.14967517493986,"1313 S 3rd St, Philadelphia, PA 19147",414,Coffee Shop
244,Oxford & Glenwood,iMunch Cafe,39.97585990634777,-75.18637151525799,"1233 N 31st St, Philadelphia, PA 19121",486,Café
246,Oxford & Glenwood,Twenty Nine Oxford Restaurant,39.98052085104743,-75.18193862052179,"2843 W Oxford St, Philadelphia, PA 19121",390,Restaurant
260,7th & Fitzwater,Saloon Restaurant,39.93999553603746,-75.15444698523777,"750 S 7th St (btwn Fitzwater and Catharine), Philadelphia, PA 19147",20,Italian Restaurant
261,7th & Fitzwater,Fitzwater Cafe,39.94040235975633,-75.15446981014934,"728 S 7th St, Philadelphia, PA 19147",25,Café
262,7th & Fitzwater,Rally,39.941216,-75.154002,"701 S 7th St (Bainbridge St), Philadelphia, PA 19147",120,Coffee Shop
263,7th & Fitzwater,Little Fish,39.940028,-75.152811,"746 S 6th St (Fitzwater st), Philadelphia, PA 19147",138,Seafood Restaurant
264,7th & Fitzwater,Angelina's,39.940276661299535,-75.15575145029139,"743 S 8th St, Philadelphia, PA 19147",113,Italian Restaurant
265,7th & Fitzwater,The Good King Tavern,39.94184315086448,-75.15405594003093,"614 S 7th St (at Kater St), Philadelphia, PA 19147",187,Restaurant
269,7th & Fitzwater,Brauhaus Schmitz,39.94217699094252,-75.15466697508847,"718 South St (at 8th St), Philadelphia, PA 19147",222,German Restaurant
270,48th & Woodland,Little Delicious,39.94160911885587,-75.2123705788031,"4821 Woodland Ave, Philadelphia, PA 19143",117,Caribbean Restaurant
282,6th & S Washington Square,Talula's Garden,39.94714094280398,-75.15347877070249,"210 W Washington Sq (btwn Walnut St & Locust St), Philadelphia, PA 19106",202,New American Restaurant
283,6th & S Washington Square,Talula's Daily,39.94720819910365,-75.153444974205,"208 W Washington Sq, Philadelphia, PA 19106",203,Café
292,2nd & George,One Shot Cafe,39.967631,-75.1407,"217 W George St (at American St), Philadelphia, PA 19123",72,Café
293,2nd & George,Apricot Stone,39.967402573897,-75.14109220678496,"426 W Girard Ave (btwn W George St & W Wildey St), Philadelphia, PA 19123",95,Mediterranean Restaurant
294,2nd & George,Baan Thai,39.96718594081968,-75.1411644949396,"1030 N American St, Philadelphia, PA 19123",100,Thai Restaurant
295,2nd & George,Poke Bowl,39.96565635888703,-75.14059436553752,"958 N 2nd St, Philadelphia, PA 19123",186,Poke Restaurant
298,2nd & George,Jerry's Bar,39.96510109416032,-75.138906973813,"129 W Laurel St (at New Market), Philadelphia, PA 19123",258,Bar
301,Broad & Cecil B. Moore,Pita Chip,39.9780377862915,-75.1584168065293,"1600 N Broad St Ste 7, Philadelphia, PA 19121",107,Mediterranean Restaurant
302,Broad & Cecil B. Moore,Tropical Smoothie Cafe,39.977931062914465,-75.15840999874148,"1600 N Broad St, Philadelphia, PA 19121",117,Juice Bar
303,Broad & Cecil B. Moore,Honeygrow,39.97742972464794,-75.15751755550048,"1601 N Broad St (Cecil B Moore Ave), Philadelphia, PA 19122",161,Salad Restaurant
306,Broad & Cecil B. Moore,Qdoba Mexican Eats,39.9785404,-75.158377,"1600 N Broad St (Suite 12), Philadelphia, PA 19121",63,Mexican Restaurant
310,Midvale & Cresson,LeBus East Falls,40.00886168466631,-75.1936636134526,"4201 Ridge Ave (Indian Queen Lane), Philadelphia, PA 19129",259,New American Restaurant
311,Midvale & Cresson,Fiorino,40.00973593094976,-75.1903618284967,"3572 Indian Queen Ln, Philadelphia, PA 19129",263,Italian Restaurant
313,Midvale & Cresson,Shan Chuan,40.009165706661726,-75.19411377568966,"4211 Ridge Ave (Midvale Ave.), Philadelphia, PA 19129",241,Chinese Restaurant
314,Midvale & Cresson,Thunder Mug Cafe,40.00941146209319,-75.19468934325535,"4233 Ridge Ave, Philadelphia, PA 19129",245,Coffee Shop
323,16th & Callowhill,Doma Japanese Restaurant,39.96052071525839,-75.16919632546524,"1822 Callowhill St, Philadelphia, PA 19130",353,Sushi Restaurant
324,16th & Callowhill,Kelliann's Bar & Grill,39.963014,-75.164509,"1549 Spring Garden St, Philadelphia, PA 19130",338,Dive Bar
327,16th & Callowhill,Gyu-Kaku Japanese BBQ,39.96072762984046,-75.17020957431274,"1901 Callowhill St, Philadelphia, PA 19130",442,Japanese Restaurant
330,22nd & Spring Garden,Umai Umai,39.964673,-75.17412999999999,"533 N 22nd St, Philadelphia, PA 19130",89,Sushi Restaurant
332,22nd & Spring Garden,Dizengoff,39.96300504544611,-75.17428656367117,"2101 Pennsylvania Ave, Philadelphia, PA 19130",106,Jewish Restaurant
334,22nd & Spring Garden,Goldie - Whole Foods Market,39.96300258045803,-75.1742946711873,"2101 Pennsylvania Ave, Philadelphia, PA 19130",106,Falafel Restaurant
335,22nd & Spring Garden,WFM Coffee Bar,39.9628975369245,-75.17413924269384,"2101 Pennsylvania Ave, Philadelphia, PA 19130",114,Coffee Shop
340,Girard & Palmer,Lloyd,39.97133198702904,-75.12744793114754,"529 E Girard Ave (at Montgomery Ave), Philadelphia, PA 19125",61,Whisky Bar
341,Girard & Palmer,Kraftwork,39.97149103610161,-75.12734564943315,"541 E Girard Ave (at E Montgomery Ave), Philadelphia, PA 19125",76,Bar
358,Lindbergh & Wheeler,Carlette's backyard,39.93005376053848,-75.21957240870441,"Philadelphia, PA 19143",380,Bar
362,18th & JFK,JG SkyHigh,39.955001,-75.170112,"1 N 19th St Fl 60, Philadelphia, PA 19103",153,Restaurant
363,18th & JFK,Vernick Fish,39.955296,-75.170268,"1 N 19th St, Philadelphia, PA 19103",188,Seafood Restaurant
364,18th & JFK,Konditori,39.95183800869956,-75.1687583423349,"40 S 17th St, Philadelphia, PA 19103",230,Coffee Shop
365,18th & JFK,Gran Caffe L'Aquila,39.951727725547904,-75.16939016959759,"1716 Chestnut St, Philadelphia, PA 19103",243,Italian Restaurant
368,18th & JFK,Sweetgreen,39.9518677,-75.1711748,"1821 Chestnut St, Philadelphia, PA 19103",291,Salad Restaurant
373,"43rd & Chester, Clark Park",Green Line Cafe,39.949702,-75.209126,"4239 Baltimore Ave (at 43rd St), Philadelphia, PA 19104",164,Coffee Shop
379,"43rd & Chester, Clark Park",Earth Cup,39.95155956572168,-75.21224255680835,"405 S 45th St (at Pine Street), Philadelphia, PA 19104",458,Coffee Shop
382,12th & Callowhill,Elixr Coffee Roasters,39.95815106712113,-75.15818075361338,"315 N 12th St, Philadelphia, PA 19107",121,Coffee Shop
383,12th & Callowhill,Parada Maimon,39.958952903208015,-75.15818888405154,"345 N 12th St, Philadelphia, PA 19107",31,Latin American Restaurant
386,12th & Callowhill,The Trestle Inn,39.95884296625862,-75.15666079997288,"339 N 11th St (at Callowhill St), Philadelphia, PA 19107",139,Whisky Bar
395,25th & Diamond,Assassins Motorcycle Club,39.99036035921324,-75.17637411394517,"Philadelphia, PA",379,Sports Bar
405,12th & Normandy,Bar Amis,39.89662491763111,-75.17551254494923,"4503 S Broad St, Philadelphia, PA 19112",489,Italian Restaurant
406,12th & Normandy,The Galley Cafe,39.891208,-75.172409,"1200 Constitution Ave, Philadelphia, PA 19112",228,Café
407,12th & Normandy,The Bistro,39.895431,-75.171926,"1001 Intrepid Ave (League Island Blvd), Philadelphia, PA 19112",245,Coffee Shop
410,50th & Haverford,Cozy Bar,39.9640677558295,-75.22221661683355,"5100 Haverford Ave, Philadelphia, PA 19139",147,Bar
411,50th & Haverford,Top Taste,39.96118545959108,-75.22486763865805,"40 N 52nd St, Philadelphia, PA 19139",490,Caribbean Restaurant
413,50th & Haverford,The Family MC,39.96434855972675,-75.22326724808406,"5140 Haverford Ave (52 nd st), Philadelphia, PA 19139",239,Bar
421,"Broad & Pattison, BSL",Xfinity Live! Philadelphia,39.90431369464889,-75.16931729492173,"1100 Pattison Ave (at 11th St), Philadelphia, PA 19148",350,Sports Bar
422,"Broad & Pattison, BSL",Victory Beer Hall,39.90431570844593,-75.16971426252118,"1100 Pattison Ave (at XFINITY Live! Philadelphia), Philadelphia, PA 19148",317,Beer Bar
425,"Broad & Pattison, BSL",Broad Street Bullies Pub,39.90447125128759,-75.16925565965765,"1100 Pattison Ave (at XFINITY Live! Philadelphia), Philadelphia, PA 19148",354,Sports Bar
427,"Broad & Pattison, BSL",PBR Bar & Grill,39.904137232411436,-75.16949083062157,"1100 Pattison Ave (at 11th St), Philadelphia, PA 19148",339,Bar
431,19th & Market,Condesa,39.952526,-75.17139,"1830 Ludlow St, Philadelphia, PA 19103",122,Mexican Restaurant
433,19th & Market,Devil's Alley,39.95205289437517,-75.17216600971092,"1907 Chestnut St (at 19th St.), Philadelphia, PA 19103",167,Bar
437,19th & Market,Sweetgreen,39.9518677,-75.1711748,"1821 Chestnut St, Philadelphia, PA 19103",197,Salad Restaurant
438,19th & Market,El Techo,39.952434,-75.171385,"1830 Ludlow St, Philadelphia, PA 19103",132,Mexican Restaurant
439,19th & Market,K'Far,39.951446,-75.172111,"110 S 19th St, Philadelphia, PA 19103",234,Café
451,19th & Lombard,SouthGate,39.945551,-75.171765,"1801 Lombard St (at 18th St), Philadelphia, PA 19146",146,Korean Restaurant
456,19th & Lombard,Bistro Southeast,39.944336898163556,-75.17286356949793,"1824 South St, Philadelphia, PA 19146",150,Asian Restaurant
459,19th & Lombard,Midnight Iris,39.94522275798762,-75.17064162388888,"1708 Lombard St (17th St), Philadelphia, PA 19146",245,American Restaurant
460,43rd & Powelton,Kilimandjaro,39.95676607480428,-75.2089249938346,"4301 Chestnut St (btwn S 44th & S 43rd St), Philadelphia, PA 19104",215,African Restaurant
462,43rd & Powelton,Kaffa Crossing,39.95686570269632,-75.21052270723752,"4421 Chestnut St, Philadelphia, PA 19104",282,Ethiopian Restaurant
463,43rd & Powelton,Dana Mandi,39.95646609535505,-75.2069702533103,"4211 Chestnut St, Philadelphia, PA 19104",255,Indian Restaurant
466,43rd & Powelton,Cleopatra Cafe,39.956282079805895,-75.20618421700539,"4145 Chestnut St (at 42nd St), Philadelphia, PA 19104",304,Hookah Bar
470,17th & Girard,Libertee Grounds,39.971599334023246,-75.16321131961746,"1600 W Girard Ave, Philadelphia, PA 19130",58,Beer Bar
472,17th & Girard,Vineyards Cafe,39.96984341458582,-75.1629700916429,"847 N 16th St, Philadelphia, PA 19130",251,Coffee Shop
474,17th & Girard,Lorraine,39.96799374905181,-75.16237877250926,"1502 Brown St, Philadelphia, PA 19130",463,Bar
476,17th & Girard,Cameron's Seafood,39.9706452560659,-75.16013916420667,"1600 Fairmount Ave (16th & Fairmount), Philadelphia, PA 19130",327,Seafood Restaurant
482,Health Sciences Drive,Starbucks,39.94762356379797,-75.19339072883606,"3400 Civic Center Blvd, Philadelphia, PA 19104",277,Coffee Shop
492,"York-Dauphin Station, MFL",Rowhome Coffee,39.98300725533054,-75.13287417907075,"2152 Front St (Susquenna Ave), Philadelphia, PA 19122",212,Coffee Shop
493,"York-Dauphin Station, MFL",Atlantis: The Lost Bar,39.98234047431338,-75.12686182383922,"2442 Frankford Ave, Philadelphia, PA 19125",561,Bar
494,"York-Dauphin Station, MFL",The Monkey Club,39.98237837638985,-75.12823057378588,"2101 E York St (Amber), Philadelphia, PA 19125",462,Dive Bar
499,"York-Dauphin Station, MFL",Three Elements,39.988380111300735,-75.13510745096474,"2501 N 2nd St (Cumberland), Philadelphia, PA 19133",443,Bar
501,16th & Chestnut,Dizengoff,39.95071550302768,-75.16836116134685,"1625 Sansom St, Philadelphia, PA 19103",96,Israeli Restaurant
502,16th & Chestnut,Harp & Crown,39.9505301,-75.1668181,"1525 Sansom St, Philadelphia, PA 19102",110,New American Restaurant
503,16th & Chestnut,Konditori,39.95183800869956,-75.1687583423349,"40 S 17th St, Philadelphia, PA 19103",114,Coffee Shop
504,16th & Chestnut,Oyster House,39.950288,-75.166666,"1516 Sansom St (btw 15th St & 16th St), Philadelphia, PA 19102",140,Seafood Restaurant
505,16th & Chestnut,Luke's Lobster,39.950642282606665,-75.16894713014693,"130 S 17th St (at Sansom St), Philadelphia, PA 19103",139,Seafood Restaurant
506,16th & Chestnut,Gran Caffe L'Aquila,39.951727725547904,-75.16939016959759,"1716 Chestnut St, Philadelphia, PA 19103",160,Italian Restaurant
511,22nd & Federal,Madira Bar and Grill,39.935919042089644,-75.17915905287052,"1252 S 21st St, Philadelphia, PA 19146",219,Indian Restaurant
513,22nd & Federal,Los Camaradas,39.94081601901921,-75.17973144125848,"918 S 22nd St (at Carpenter St), Philadelphia, PA 19146",342,Mexican Restaurant
514,22nd & Federal,OCF Coffee House 2,39.93744816669761,-75.17689290886075,"2001 Federal St, Philadelphia, PA 19146",277,Coffee Shop
519,22nd & Federal,22nd Street Cafe,39.936125706582246,-75.18076282808812,"1264 S 22nd St (at Wharton St), Philadelphia, PA 19146",188,Café
520,8th & Chestnut,Morimoto,39.949607,-75.153344,"723 Chestnut St (at 7th St), Philadelphia, PA 19106",77,Japanese Restaurant
526,8th & Chestnut,Talula's Garden,39.94714094280398,-75.15347877070249,"210 W Washington Sq (btwn Walnut St & Locust St), Philadelphia, PA 19106",296,New American Restaurant
527,8th & Chestnut,Sweetgreen,39.94832076167723,-75.15701806486913,"924 Walnut St (at 10th St), Philadelphia, PA 19107",284,Salad Restaurant
528,8th & Chestnut,La Colombe Coffee Roasters,39.95056267980895,-75.15075758821155,"100 S Independence Mall West (at Market St), Philadelphia, PA 19106",310,Coffee Shop
538,Pennsylvania Convention Center,Four Seasons Juice Bar,39.95341306070958,-75.15959480031424,"12th and Filbert, Philadelphia, PA 19107",177,Juice Bar
544,"Berks Station, MFL",Kalaya,39.97564987595705,-75.13313455564375,"4 W Palmer St (at Blair St), Philadelphia, PA 19122",359,Thai Restaurant
545,"Berks Station, MFL",Da Vista Urso 2.0,39.97939493682621,-75.1336352595369,"Philadelphia, PA",60,Bar
547,"Berks Station, MFL",LMNO,39.97606,-75.133704,"1739 N Front St, Philadelphia, PA 19122",314,Mexican Restaurant
548,"Berks Station, MFL",Buzz Cafe,39.977471074816684,-75.13501932584151,"1800 N Howard St, Philadelphia, PA 19122",209,Café
550,26th & Poplar,Lucky Goat Coffee House,39.972487950274584,-75.17935730716006,"888 N 26th St (at Poplar St), Philadelphia, PA 19130",45,Coffee Shop
552,26th & Poplar,2637Brew,39.97433440252006,-75.18003518604161,"2637 W Girard Ave, Philadelphia, PA 19130",172,American Restaurant
554,26th & Poplar,Brown Street Coffee,39.970450661128716,-75.17948456229703,"2545 Brown St (26'th Street), Philadelphia, PA 19130",261,Coffee Shop
556,26th & Poplar,Green Eggs Cafe,39.974146568249,-75.18217418068042,"2800 W Girard Ave (28’th Street), Philadelphia, PA 19130",257,Restaurant
557,26th & Poplar,Angelino's Restaurant,39.971258643408454,-75.1777513050809,"849 N 25th St (at Parrish St), Philadelphia, PA 19130",239,Italian Restaurant
